"Generate and save api key","Générer et sauvegarder la clé d'api"
"General Settings","Paramètres généraux"
"ShipStation Api Key","Clé d'api ShipStation"
"Price Export Type","Type d'export de prix"
"Import Discounts","Importer les rabais"
"Export custom attributes as custom options","Exporter les attributs personnalisés comme des options"
"Import Child Products","Importer les produits enfants"
"Custom/Auto Invoicing Enabled","Activer la facturation personnalisée"
"ShipStation Managed Shipping","Envois gérés par ShipStation"
"Enabled","Activé"
"Sort Order","Ordre de tri"
"Title","Titre"
"Show Method if Not Applicable","Affiche la méthode même si elle ne s'applique pas"
"Displayed Error Message","Message d'erreur affiché"
"Authentication failed","L'authentification a échouée"
"Invalid action.","Action invalide."
"This shipping method is not available. To use this shipping method, please contact us.","Cette méthode de livraison n'est pas disponible. Veuillez nous contacter pour utiliser cette méthode."
"Input Xml contains errors and couldn't be parsed.","Le contenu Xml est mal formatté et n'a pu être traité."
"Store Price","Prix magasin"
"Base Price","Prix de base"
"The ShipStation Shipping Rates plugin has been installed but not configured. Please log in to ShipStation and configure Magento from there. This message can be removed by disabling ShipStation in the Shipping Methods configuration.","Le module ShipStation Shippinh Rates est installé mais n'est pas configuré. Veuillez configurer Magento à partir du panneau d'administration de ShipStation. Pour retirer ce message veuillez désactiver ShipStation dans les méthodes de livraison."
"Order '%1' does not exist","La commande '%1' n'existe pas."
"Shipment can not be created for Order : %1","L'expédition n'a pu être créée pour la commande : %1"
"estimated transit days","jours de transit estimés"
